	Vehiculo0	Vehiculo1	Vehiculo2	Vehiculo3	Vehiculo4	Vehiculo5	Vehiculo6	Vehiculo7	Cliente1	Cliente2	Cliente3	Cliente4	Cliente5	Cliente6	Cliente7	Cliente8	Cliente9	Cliente10	Sobra
Vehiculo0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Vehiculo7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	462.23142654000003	750.735751552	399.26814383	0.0	697.113986982	0.0	685.160043442	568.962802972	593.34973743	589.5279850219999	0.0	
Cliente1	162.23142654	162.23142654	162.23142654	162.23142654	162.23142654	162.23142654	162.23142654	162.23142654	0.0	330.459860474	213.227416262	0.0	373.721464618	0.0	397.045483272	370.563302874	109.51139636999999	376.786621098	0.0	
Cliente2	450.735751552	450.735751552	450.735751552	450.735751552	450.735751552	450.735751552	450.735751552	450.735751552	330.459860474	0.0	0.0	0.0	0.0	0.0	298.924402968	0.0	275.05271497200005	475.503909212	0.0	
Cliente3	99.26814383	99.26814383	99.26814383	99.26814383	99.26814383	99.26814383	99.26814383	99.26814383	213.227416262	0.0	0.0	0.0	334.55192001	417.904751848	0.0	266.487969782	263.02079998600004	398.45029208600005	0.0	
Cliente4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	260.937984658	280.797996678	0.0	180.242561598	0.0	
Cliente5	397.11398698200003	397.11398698200003	397.11398698200003	397.11398698200003	397.11398698200003	397.11398698200003	397.11398698200003	397.11398698200003	373.721464618	0.0	334.55192001	0.0	0.0	353.08689229	0.0	0.0	371.44553081799995	0.0	0.0	
Cliente6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	417.904751848	0.0	353.08689229	0.0	0.0	0.0	0.0	0.0	0.0	
Cliente7	385.16004344199996	385.16004344199996	385.16004344199996	385.16004344199996	385.16004344199996	385.16004344199996	385.16004344199996	385.16004344199996	397.045483272	298.924402968	0.0	260.937984658	0.0	0.0	0.0	295.78596856400003	0.0	176.224394338	0.0	
Cliente8	268.962802972	268.962802972	268.962802972	268.962802972	268.962802972	268.962802972	268.962802972	268.962802972	370.563302874	0.0	266.487969782	280.797996678	0.0	0.0	295.78596856400003	0.0	0.0	128.43975004	0.0	
Cliente9	293.34973743	293.34973743	293.34973743	293.34973743	293.34973743	293.34973743	293.34973743	293.34973743	109.51139636999999	275.05271497200005	263.02079998600004	0.0	371.44553081799995	0.0	0.0	0.0	0.0	0.0	0.0	
Cliente10	289.527985022	289.527985022	289.527985022	289.527985022	289.527985022	289.527985022	289.527985022	289.527985022	376.786621098	475.503909212	398.45029208600005	180.242561598	0.0	0.0	176.224394338	128.43975004	0.0	0.0	0.0	
Sobra	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
